0,1,1,0,0,497,506
1,1,1,0,0,497,506
2,1,1,0,0,496,506
3,1,1,0,0,495,506
4,1,1,0,0,494,506
5,1,1,0,0,494,507
6,1,1,0,0,494,504
7,1,1,0,0,494,505
8,1,1,0,0,495,507
9,1,1,0,0,496,503
10,1,1,0,0,496,507
11,1,1,0,0,497,505
12,1,1,0,0,498,505
13,1,1,0,0,498,505
14,1,1,0,0,499,506
15,1,1,0,0,500,504
0,1,1,0,0,502,507
1,1,1,0,0,503,505
2,1,1,0,0,504,505
3,1,1,0,0,504,507
4,1,1,0,0,505,505
5,1,1,0,0,506,508
6,1,1,0,0,508,505
7,1,1,0,0,508,505
8,1,1,0,0,509,509
9,1,1,0,0,510,504
10,1,1,0,0,511,508
11,1,1,0,0,511,506
12,1,1,0,0,512,505
13,1,1,0,0,512,508
14,1,1,0,0,513,505
15,1,1,0,0,513,508
0,1,1,0,0,513,507
1,1,1,0,0,513,506
2,1,1,0,0,513,507
3,1,1,0,0,513,506
4,1,1,0,0,513,509
5,1,1,0,0,514,508
6,1,1,0,0,514,507
7,1,1,0,0,515,509
8,1,1,0,0,515,506
9,1,1,0,0,516,510
10,1,1,0,0,516,507
11,1,1,0,0,517,507
12,1,1,0,0,518,509
13,1,1,0,0,518,507
14,1,1,0,0,517,510
15,1,1,0,0,517,508
0,1,1,0,0,517,507
1,1,1,0,0,517,510
2,1,1,0,0,517,507
3,1,1,0,0,518,511
4,1,1,0,0,518,508
5,1,1,0,0,518,508
6,1,1,0,0,518,510
7,1,1,0,0,519,508
8,1,1,0,0,519,511
9,1,1,0,0,519,506
10,1,1,0,0,519,510
11,1,1,0,0,519,509
12,1,1,0,0,519,508
13,1,1,0,0,519,508
14,1,1,0,0,519,508
15,1,1,0,0,519,508
0,1,1,0,0,519,509
1,1,1,0,0,519,508
2,1,1,0,0,518,507
3,1,1,0,0,518,508
4,1,1,0,0,517,508
5,1,1,0,0,518,509
6,1,1,0,0,518,509
7,1,1,0,0,518,507
8,1,1,0,0,518,508
9,1,1,0,0,518,511
10,1,1,0,0,518,506
11,1,1,0,0,518,508
12,1,1,0,0,518,508
13,1,1,0,0,518,508
14,1,1,0,0,518,509
15,1,1,0,0,518,509
0,1,1,0,0,518,508
1,1,1,0,0,518,507
2,1,1,0,0,517,507
3,1,1,0,0,517,509
4,1,1,0,0,517,508
5,1,1,0,0,516,507
6,1,1,0,0,516,510
7,1,1,0,0,516,507
8,1,1,0,0,515,508
9,1,1,0,0,515,508
10,1,1,0,0,514,507
11,1,1,0,0,512,507
12,1,1,0,0,511,506
13,1,1,0,0,507,507
14,1,1,0,0,501,508
15,1,1,0,0,496,507
0,1,1,0,0,489,507
1,1,1,0,0,483,507
2,1,1,0,0,477,507
3,1,1,0,0,471,507
4,1,1,0,0,464,505
5,1,1,0,0,456,510
6,1,1,0,0,449,506
7,1,1,0,0,442,505
8,1,1,0,0,434,509
9,1,1,0,0,426,509
10,1,1,0,0,417,505
11,1,1,0,0,409,505
12,1,1,0,0,401,505
13,1,1,0,0,391,506
14,1,1,0,0,383,506
15,1,1,0,0,375,505
0,1,1,0,0,367,505
1,1,1,0,0,361,506
2,1,1,0,0,358,506
3,1,1,0,0,355,504
4,1,1,0,0,355,508
5,1,1,0,0,356,506
6,1,1,0,0,359,505
7,1,1,0,0,363,509
8,1,1,0,0,370,504
9,1,1,0,0,378,506
10,1,1,0,0,390,505
11,1,1,0,0,403,506
12,1,1,0,0,419,506
13,1,1,0,0,446,506
14,1,1,0,0,484,505
15,1,1,0,0,535,507
0,1,1,0,0,591,506
1,1,1,0,0,645,507
2,1,1,0,0,694,507
3,1,1,0,0,742,506
4,1,1,0,0,783,507
5,1,1,0,0,816,507
6,1,1,0,0,839,505
7,1,1,0,0,853,509
8,1,1,0,0,858,505
9,1,1,0,0,854,509
10,1,1,0,0,842,508
11,1,1,0,0,824,506
12,1,1,0,0,805,506
13,1,1,0,0,784,505
14,1,1,0,0,761,506
15,1,1,0,0,737,506
0,1,1,0,0,713,507
1,1,1,0,0,688,506
2,1,1,0,0,662,506
3,1,1,0,0,636,506
4,1,1,0,0,611,507
5,1,1,0,0,588,508
